IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
40.233.110.251,2603:c021:4:9a88::1018,443,83.11,CA,YYZ,78.37,96.77
150.242.90.205,150.242.90.205,443,24.52,CA,YVR,10.61,15.02
40.233.68.138,40.233.68.138,443,16.69,CA,YYZ,62.99,72.59
40.233.116.225,40.233.116.225,443,16.55,CA,YYZ,66.96,81.91
65.49.232.101,65.49.232.101,443,15.94,CA,YVR,8.72,13.92
72.11.145.117,72.11.145.117,443,14.64,CA,YYZ,58.52,198.09
40.233.99.248,2603:c021:4:9a88::1020,443,13.89,CA,YYZ,64.23,69.77
172.98.207.58,172.98.207.6,443,12.24,CA,YYZ,65.36,73.65
40.233.77.216,2603:c021:5:8c88::825,443,11.8,CA,YYZ,70.58,66.28
140.238.144.211,2603:c021:4:9a88::1022,443,9.19,CA,YYZ,65.04,79.85
72.11.146.199,72.11.146.199,443,9.07,CA,YYZ,58.91,97.0
158.69.112.254,158.69.112.254,443,8.48,CA,YYZ,76.49,101.18
40.233.103.212,2603:c021:5:8c88::1008,443,5.54,CA,YYZ,62.33,68.28
159.203.2.180,159.203.2.180,443,5.54,CA,YYZ,61.1,70.92
40.233.87.120,2603:c021:4:9a88::1016,443,5.24,CA,YYZ,63.05,81.01
40.233.71.238,2603:c021:5:8c88::1006,443,5.04,CA,YYZ,63.35,68.32
68.233.122.42,68.233.122.42,443,4.79,CA,YYZ,91.54,111.05
155.248.216.138,155.248.216.138,443,4.5,CA,YYZ,67.02,77.43
167.160.190.137,167.160.190.137,443,2.39,CA,YYZ,58.35,97.33
204.216.107.15,204.216.107.15,443,2.39,CA,YYZ,110.67,146.33
45.133.17.106,45.133.17.106,443,1.46,CA,YYZ,91.15,133.98
194.156.102.142,194.156.102.142,443,3.98,CH,ZRH,169.03,176.59
140.238.208.210,140.238.208.210,443,3.11,CH,ZRH,171.46,241.03
167.17.181.72,167.17.181.72,443,2.95,CH,CDG,169.73,199.23
45.59.117.92,45.59.117.92,443,2.81,CH,ZRH,160.58,184.88
176.10.125.114,176.10.125.114,443,2.66,CH,ZRH,150.37,162.61
84.234.17.132,84.234.17.132,8443,2.6,CH,GVA,160.32,168.07
140.238.209.8,140.238.209.8,443,2.59,CH,ZRH,165.12,169.04
45.143.200.141,45.143.200.141,443,2.58,CH,ZRH,171.37,193.24
84.234.17.132,84.234.17.132,443,2.33,CH,LYS,168.17,218.26
91.245.225.17,91.245.225.17,443,2.27,CH,ZRH,166.78,176.37
91.90.193.138,91.90.193.138,443,2.25,CH,LYS,157.46,170.62
82.38.64.162,82.38.64.162,443,2.21,CH,ZRH,162.3,172.84
45.148.102.70,45.148.102.70,443,2.2,CH,ZRH,174.89,242.07
87.120.222.168,87.120.222.168,443,2.11,CH,ZRH,163.09,174.13
84.234.16.169,84.234.16.169,8443,2.09,CH,GVA,169.27,182.06
171.22.16.231,171.22.16.231,443,1.94,CH,ZRH,166.44,198.06
87.120.222.39,87.120.222.39,443,1.91,CH,ZRH,166.33,175.0
107.189.30.77,107.189.30.77,443,1.9,CH,ZRH,160.0,184.83
152.67.85.239,152.67.85.239,443,1.88,CH,ZRH,159.99,165.75
51.34.85.34,51.34.85.34,443,1.88,CH,ZRH,156.7,163.04
38.180.84.40,38.180.84.40,443,1.84,CH,MXP,157.88,196.23
84.234.16.169,84.234.16.169,443,1.83,CH,LYS,161.1,195.63
213.176.18.108,213.176.18.108,443,1.81,CH,ZRH,166.39,176.99
38.244.145.50,38.244.145.50,443,1.8,CH,MXP,158.16,168.77
171.22.16.237,171.22.16.237,443,1.79,CH,ZRH,166.26,166.28
45.143.200.211,45.143.200.211,443,1.77,CH,ZRH,167.31,174.83
193.228.128.110,193.228.128.110,443,1.6,CH,ZRH,162.04,169.45
179.43.176.195,179.43.176.195,443,1.58,CH,MXP,152.55,163.01
83.228.198.53,83.228.198.53,443,1.58,CH,LYS,163.62,199.0
194.87.18.208,194.87.18.208,443,1.57,CH,ZRH,173.51,172.26
146.70.71.157,146.70.71.157,443,1.56,CH,FRA,160.58,185.56
87.120.222.199,87.120.222.199,443,1.5,CH,ZRH,167.46,179.85
171.22.16.238,171.22.16.238,443,1.44,CH,ZRH,162.94,170.67
82.38.139.231,82.38.139.231,443,1.42,CH,ZRH,165.08,183.06
186.190.215.78,186.190.215.78,443,1.38,CH,ZRH,167.55,209.87
38.180.85.203,38.180.85.203,443,1.35,CH,MXP,168.17,190.01
45.148.102.244,45.148.102.244,443,1.3,CH,ZRH,167.75,172.29
5.182.36.39,5.182.36.39,443,1.18,CH,ZRH,166.84,177.17
45.143.200.245,45.143.200.245,443,1.18,CH,ZRH,171.84,170.01
94.131.3.4,94.131.3.4,443,1.15,CH,ZRH,160.12,186.45
91.245.225.69,91.245.225.69,443,1.11,CH,ZRH,164.76,249.76
82.38.64.166,82.38.64.166,443,1.09,CH,ZRH,177.76,200.25
87.120.222.207,87.120.222.207,8443,1.07,CH,ZRH,166.82,175.27
83.228.198.53,83.228.198.53,8443,1.06,CH,LYS,164.6,204.4
87.251.87.36,87.251.87.36,443,4.15,DE,FRA,187.21,208.99
38.180.219.131,38.180.219.131,443,3.65,DE,FRA,180.64,308.59
79.137.205.162,79.137.205.162,443,3.32,DE,FRA,169.84,188.14
5.61.32.186,5.61.32.186,443,3.27,DE,FRA,165.65,181.47
163.5.63.129,163.5.63.129,443,3.2,DE,FRA,156.42,169.64
193.135.137.79,193.135.137.79,443,3.18,DE,FRA,154.73,172.84
116.203.18.84,116.203.18.84,443,3.18,DE,FRA,172.9,223.8
194.180.188.241,194.180.188.241,443,3.07,DE,FRA,176.55,181.54
5.181.187.58,5.181.187.58,443,3.02,DE,FRA,167.19,179.51
95.179.250.68,2001:19f0:6c01:14eb:5400:4ff:fe00:405,443,3.01,DE,FRA,152.56,165.29
80.244.13.201,142.248.1.97,443,2.99,DE,FRA,212.16,188.35
185.244.40.219,185.244.40.219,443,2.98,DE,FRA,163.04,176.08
130.61.12.163,130.61.12.163,443,2.93,DE,FRA,152.07,167.9
94.159.99.172,94.159.99.172,443,2.93,DE,FRA,149.58,170.39
94.159.110.149,94.159.110.149,443,2.91,DE,FRA,154.86,176.7
91.99.227.218,91.99.227.218,443,2.87,DE,FRA,162.07,185.02
194.154.30.62,194.154.30.62,443,2.86,DE,FRA,157.53,174.54
113.30.191.181,113.30.191.181,443,2.86,DE,FRA,155.72,166.76
85.121.53.39,85.121.53.39,443,2.85,DE,FRA,180.78,218.86
217.61.0.97,217.61.0.97,443,2.82,DE,FRA,158.96,198.52
178.215.238.228,178.215.238.228,2053,2.81,DE,FRA,156.62,168.83
104.152.49.249,104.152.49.249,443,2.8,DE,FRA,161.23,182.65
38.180.166.140,38.180.166.140,443,2.8,DE,FRA,157.53,182.12
194.99.20.245,194.99.20.245,443,2.78,DE,FRA,157.11,174.24
178.250.187.110,2a0f:cdc6:500:eb9::2,443,2.77,DE,FRA,181.12,178.54
43.245.226.13,43.245.226.13,443,2.77,DE,FRA,153.87,193.88
94.141.123.231,94.141.123.231,443,2.76,DE,FRA,175.26,199.47
62.60.216.204,2a01:e5c0:57f1::2,443,2.76,DE,FRA,194.9,230.62
194.164.234.186,194.164.234.186,443,2.76,DE,FRA,156.79,186.43
178.215.238.228,178.215.238.228,8443,2.75,DE,FRA,154.97,164.98
91.107.160.25,91.107.160.25,443,2.75,DE,FRA,166.02,206.08
88.198.82.157,178.63.88.12,443,2.69,DE,FRA,161.17,182.91
195.58.38.95,2a0f:cdc6:500:f69::2,443,2.69,DE,FRA,165.79,175.71
138.3.254.178,138.3.254.178,443,2.68,DE,FRA,158.64,201.01
87.120.165.27,87.120.165.27,2053,2.68,DE,FRA,155.16,163.36
87.120.165.27,87.120.165.27,8443,2.68,DE,FRA,154.75,164.04
149.104.110.97,149.104.110.97,443,2.61,DE,FRA,152.0,178.83
185.166.196.219,185.166.196.219,443,2.61,DE,AMS,159.06,382.09
152.53.15.96,152.53.15.96,8443,2.61,DE,FRA,156.34,168.91
185.125.102.120,185.125.102.120,443,2.6,DE,FRA,170.81,232.33
212.113.99.18,212.113.99.18,443,2.52,DE,FRA,162.92,203.62
80.240.20.43,80.240.20.43,443,2.52,DE,FRA,156.48,169.23
152.53.137.142,152.53.137.142,443,2.52,DE,FRA,178.47,217.35
62.60.216.31,62.60.216.31,443,2.51,DE,FRA,182.12,175.69
152.53.15.143,152.53.15.143,8443,2.5,DE,FRA,156.09,195.62
113.30.189.95,113.30.190.30,443,2.5,DE,FRA,148.73,177.75
152.53.117.32,152.53.117.32,443,2.5,DE,FRA,191.97,218.96
79.137.207.149,79.137.207.149,443,2.49,DE,FRA,244.75,225.86
91.149.222.113,91.149.222.113,443,2.46,DE,FRA,157.89,177.18
31.59.58.28,31.59.58.28,443,2.46,DE,FRA,193.04,250.35
91.107.155.13,91.107.155.13,443,2.41,DE,FRA,171.84,224.01
62.60.246.90,62.60.246.90,443,2.41,DE,FRA,184.41,231.61
108.165.236.247,108.165.236.247,443,2.39,DE,FRA,161.8,187.86
185.246.222.178,185.246.222.178,443,2.39,DE,FRA,164.29,171.44
213.165.55.207,213.165.55.207,443,2.38,DE,FRA,169.6,178.7
62.60.216.169,62.60.216.169,443,2.38,DE,FRA,167.95,186.27
152.53.14.169,152.53.14.169,8443,2.35,DE,FRA,157.65,169.69
217.154.94.41,2a01:239:3bf:dd00::1,443,2.34,DE,WAW,174.81,200.63
152.53.14.244,152.53.14.244,8443,2.34,DE,FRA,189.29,253.31
116.203.58.165,116.203.58.165,443,2.33,DE,FRA,159.59,172.65
168.119.176.199,168.119.176.199,443,2.3,DE,FRA,161.54,177.16
159.89.10.241,159.89.10.241,443,2.29,DE,FRA,155.06,165.37
147.90.20.17,162.221.196.158,443,2.29,DE,FRA,161.52,167.59
89.127.203.246,89.127.203.246,443,2.27,DE,FRA,155.87,183.08
185.103.253.187,185.103.253.187,443,2.26,DE,FRA,157.6,167.64
64.188.118.193,64.188.118.193,443,2.26,DE,FRA,191.69,314.67
46.4.230.8,46.4.230.8,443,2.25,DE,FRA,164.32,179.4
85.208.139.48,85.208.139.48,443,2.24,DE,FRA,156.99,171.45
193.26.159.9,193.26.159.9,8443,2.23,DE,HAM,156.32,201.57
88.198.82.156,178.63.88.12,443,2.23,DE,FRA,164.1,185.41
18.197.218.69,18.197.218.69,443,2.22,DE,FRA,153.0,160.36
91.107.155.13,91.107.155.13,8443,2.22,DE,FRA,167.13,171.19
193.26.157.139,193.26.157.139,443,2.21,DE,FRA,162.24,191.95
193.26.156.79,193.26.156.79,8443,2.2,DE,HAM,166.93,251.05
84.75.76.126,84.75.76.126,443,2.19,DE,FRA,158.06,166.97
18.199.97.136,18.199.97.136,443,2.19,DE,FRA,157.14,169.97
195.133.94.9,195.133.94.9,443,2.19,DE,FRA,162.69,171.09
91.132.160.255,91.132.160.255,443,2.19,DE,FRA,171.67,168.0
37.221.198.204,37.221.198.204,8443,2.19,DE,FRA,172.71,204.94
45.43.88.232,45.43.88.232,443,2.18,DE,FRA,157.47,169.93
194.87.55.75,194.87.55.75,443,2.17,DE,FRA,156.18,161.12
49.12.237.71,49.12.237.71,443,2.17,DE,FRA,162.46,196.87
87.251.88.57,87.251.88.57,443,2.16,DE,FRA,165.26,177.16
188.34.205.158,188.34.205.158,443,2.16,DE,FRA,168.92,181.2
51.38.98.202,51.38.98.202,443,2.15,DE,FRA,160.79,172.4
152.53.15.120,152.53.15.120,443,2.15,DE,FRA,162.99,184.15
109.120.177.229,109.120.177.229,443,2.14,DE,FRA,173.22,204.73
